DATE,TTLHH
01-01-1940,34949
01-01-1941,.
01-01-1942,.
01-01-1943,.
01-01-1944,.
01-01-1945,.
01-01-1946,.
01-01-1947,39107
01-01-1948,40532
01-01-1949,42182
01-01-1950,43554
01-01-1951,44673
01-01-1952,45538
01-01-1953,46385
01-01-1954,46962
01-01-1955,47874
01-01-1956,48902
01-01-1957,49673
01-01-1958,50474
01-01-1959,51435
01-01-1960,52799
01-01-1961,53557
01-01-1962,54764
01-01-1963,55270
01-01-1964,56149
01-01-1965,57436
01-01-1966,58406
01-01-1967,59236
01-01-1968,60813
01-01-1969,62214
01-01-1970,63401
01-01-1971,64778
01-01-1972,66676
01-01-1973,68251
01-01-1974,69859
01-01-1975,71120
01-01-1976,72867
01-01-1977,74142
01-01-1978,76030
01-01-1979,77330
01-01-1980,80776
01-01-1981,82368
01-01-1982,83527
01-01-1983,83918
01-01-1984,85290
01-01-1985,86789
01-01-1986,88458
01-01-1987,89479
01-01-1988,91124
01-01-1989,92830
01-01-1990,93347
01-01-1991,94312
01-01-1992,95669
01-01-1993,96426
01-01-1994,97107
01-01-1995,98990
01-01-1996,99627
01-01-1997,101018
01-01-1998,102528
01-01-1999,103874
01-01-2000,104705
01-01-2001,108209
01-01-2002,109297
01-01-2003,111278
01-01-2004,112000
01-01-2005,113343
01-01-2006,114384
01-01-2007,116011
01-01-2008,116783
01-01-2009,117181
01-01-2010,117538
01-01-2011,119927
01-01-2012,121084
01-01-2013,122459
01-01-2014,123229
01-01-2015,124587
01-01-2016,125819
01-01-2017,126224
01-01-2018,127586
01-01-2019,128579
01-01-2020,128451
01-01-2021,129224
01-01-2022,131202
